Cap,Nº carateres, totpos, quanpos, totneg, quanneg,palavras,rationeg
0,1338,3.0,4,7.0,8,225,0.5143658023826209
1,28323,66.0,70,126.5,138,4829,0.5143658023826209
2,20918,45.5,51,112.5,120,3658,0.5143658023826209
3,23949,35.0,37,120.0,130,4209,0.5143658023826209
4,21936,53.0,57,131.0,137,3855,0.5143658023826209
5,41738,101.0,112,166.0,180,7107,0.5143658023826209
6,38303,90.5,97,148.0,160,6688,0.5143658023826209
7,27461,74.0,83,112.0,121,4662,0.5143658023826209
8,19219,51.0,58,98.0,113,3300,0.5143658023826209
9,30873,60.0,63,150.5,163,5366,0.5143658023826209
10,27169,54.5,59,104.0,114,4686,0.5143658023826209
11,20842,55.0,56,82.5,92,3606,0.5143658023826209
12,33041,78.5,83,133.5,149,5772,0.5143658023826209
13,19718,50.0,52,72.5,83,3412,0.5143658023826209
14,21366,35.5,40,84.5,91,3737,0.5143658023826209
15,31097,67.5,74,173.5,192,5328,0.5143658023826209
16,38878,78.5,84,169.5,188,6739,0.5143658023826209
17,33245,102.5,110,149.0,172,5766,0.5143658023826209
